Species,Units,Date,Year,Month,Day,Time,Value
NO,ug m-3,12/01/2017,2017,01,12,10,13.7
NO,ug m-3,12/01/2017,2017,01,12,11,13.3
NO,ug m-3,12/01/2017,2017,01,12,12,20.8
NO,ug m-3,12/01/2017,2017,01,12,13,15.2
NO,ug m-3,12/01/2017,2017,01,12,14,32.1
NO,ug m-3,12/01/2017,2017,01,12,15,12.5
NO,ug m-3,12/01/2017,2017,01,12,16,30.7
NO,ug m-3,12/01/2017,2017,01,12,17,11.9
NO,ug m-3,12/01/2017,2017,01,12,18,18.6
NO,ug m-3,12/01/2017,2017,01,12,19,11.3
NO,ug m-3,12/01/2017,2017,01,12,20,11.5
NO,ug m-3,12/01/2017,2017,01,12,21,12.9
NO,ug m-3,12/01/2017,2017,01,12,22,8.0
NO,ug m-3,12/01/2017,2017,01,12,23,6.5
NO,ug m-3,13/01/2017,2017,01,13,0,4.1
NO,ug m-3,13/01/2017,2017,01,13,1,2.3
NO,ug m-3,13/01/2017,2017,01,13,2,2.5
NO,ug m-3,13/01/2017,2017,01,13,3,3.4
NO,ug m-3,13/01/2017,2017,01,13,4,5.9
NO,ug m-3,13/01/2017,2017,01,13,5,11.7
NO,ug m-3,13/01/2017,2017,01,13,6,14.1
NO,ug m-3,13/01/2017,2017,01,13,7,23.4
NO,ug m-3,13/01/2017,2017,01,13,8,15.1
NO,ug m-3,13/01/2017,2017,01,13,9,21.9
NO,ug m-3,13/01/2017,2017,01,13,10,15.2
NO,ug m-3,13/01/2017,2017,01,13,11,21.6
NO,ug m-3,13/01/2017,2017,01,13,12,26.0
NO,ug m-3,13/01/2017,2017,01,13,13,20.4
NO,ug m-3,13/01/2017,2017,01,13,14,20.0
NO,ug m-3,13/01/2017,2017,01,13,15,22.9
NO,ug m-3,13/01/2017,2017,01,13,16,24.9
NO,ug m-3,13/01/2017,2017,01,13,17,21.9
NO,ug m-3,13/01/2017,2017,01,13,18,28.0
NO,ug m-3,13/01/2017,2017,01,13,19,21.8
NO,ug m-3,13/01/2017,2017,01,13,20,14.8
NO,ug m-3,13/01/2017,2017,01,13,21,12.8
NO,ug m-3,13/01/2017,2017,01,13,22,10.3
NO,ug m-3,13/01/2017,2017,01,13,23,9.6
NO,ug m-3,14/01/2017,2017,01,14,0,10.0
NO,ug m-3,14/01/2017,2017,01,14,1,6.6
NO,ug m-3,14/01/2017,2017,01,14,2,4.1
NO,ug m-3,14/01/2017,2017,01,14,3,3.8
NO,ug m-3,14/01/2017,2017,01,14,4,3.1
NO,ug m-3,14/01/2017,2017,01,14,5,3.0
NO,ug m-3,14/01/2017,2017,01,14,6,6.5
NO,ug m-3,14/01/2017,2017,01,14,7,12.6
NO,ug m-3,14/01/2017,2017,01,14,8,21.1
NO,ug m-3,14/01/2017,2017,01,14,9,38.4
NO,ug m-3,14/01/2017,2017,01,14,10,35.3
NO,ug m-3,14/01/2017,2017,01,14,11,30.1
NO,ug m-3,14/01/2017,2017,01,14,12,23.9
NO,ug m-3,14/01/2017,2017,01,14,13,17.2
NO,ug m-3,14/01/2017,2017,01,14,14,21.4
NO,ug m-3,14/01/2017,2017,01,14,15,44.5
NO,ug m-3,14/01/2017,2017,01,14,16,22.9
