Species,Units,Date,Year,Month,Day,Time,Value,Weekday
NO,ug m-3,10/01/2017,2017,1,10,23,12.299999999999999,TUE
NO,ug m-3,11/01/2017,2017,1,11,0,1.15,WED
NO,ug m-3,11/01/2017,2017,1,11,1,0.75,WED
NO,ug m-3,11/01/2017,2017,1,11,2,0.65,WED
NO,ug m-3,11/01/2017,2017,1,11,3,0.65,WED
NO,ug m-3,11/01/2017,2017,1,11,4,1.55,WED
NO,ug m-3,11/01/2017,2017,1,11,5,2.35,WED
NO,ug m-3,11/01/2017,2017,1,11,6,7.7,WED
NO,ug m-3,11/01/2017,2017,1,11,7,12.05,WED
NO,ug m-3,11/01/2017,2017,1,11,8,18.6,WED
NO,ug m-3,11/01/2017,2017,1,11,9,32.8,WED
NO,ug m-3,11/01/2017,2017,1,11,10,22.35,WED
NO,ug m-3,11/01/2017,2017,1,11,11,8.3,WED
NO,ug m-3,11/01/2017,2017,1,11,12,9.95,WED
NO,ug m-3,11/01/2017,2017,1,11,13,7.8,WED
NO,ug m-3,11/01/2017,2017,1,11,14,5.95,WED
NO,ug m-3,11/01/2017,2017,1,11,15,4.55,WED
NO,ug m-3,11/01/2017,2017,1,11,16,7.9,WED
NO,ug m-3,11/01/2017,2017,1,11,17,7.9,WED
NO,ug m-3,11/01/2017,2017,1,11,18,6.95,WED
NO,ug m-3,11/01/2017,2017,1,11,19,6.4,WED
NO,ug m-3,11/01/2017,2017,1,11,20,17.700000000000003,WED
NO,ug m-3,11/01/2017,2017,1,11,21,20.700000000000003,WED
NO,ug m-3,11/01/2017,2017,1,11,22,13.5,WED
NO,ug m-3,11/01/2017,2017,1,11,23,12.0,WED
NO,ug m-3,12/01/2017,2017,1,12,0,2.1,THU
NO,ug m-3,12/01/2017,2017,1,12,1,1.45,THU
NO,ug m-3,12/01/2017,2017,1,12,2,0.95,THU
NO,ug m-3,12/01/2017,2017,1,12,3,0.45,THU
NO,ug m-3,12/01/2017,2017,1,12,4,1.05,THU
NO,ug m-3,12/01/2017,2017,1,12,5,1.5,THU
NO,ug m-3,12/01/2017,2017,1,12,6,2.9,THU
NO,ug m-3,12/01/2017,2017,1,12,7,4.2,THU
NO,ug m-3,12/01/2017,2017,1,12,8,6.9,THU
NO,ug m-3,12/01/2017,2017,1,12,9,8.35,THU
NO,ug m-3,12/01/2017,2017,1,12,10,6.85,THU
NO,ug m-3,12/01/2017,2017,1,12,11,6.65,THU
NO,ug m-3,12/01/2017,2017,1,12,12,10.4,THU
NO,ug m-3,12/01/2017,2017,1,12,13,7.6,THU
NO,ug m-3,12/01/2017,2017,1,12,14,16.05,THU
NO,ug m-3,12/01/2017,2017,1,12,15,6.25,THU
NO,ug m-3,12/01/2017,2017,1,12,16,15.35,THU
NO,ug m-3,12/01/2017,2017,1,12,17,5.95,THU
NO,ug m-3,12/01/2017,2017,1,12,18,9.3,THU
NO,ug m-3,12/01/2017,2017,1,12,19,5.65,THU
NO,ug m-3,12/01/2017,2017,1,12,20,34.5,THU
NO,ug m-3,12/01/2017,2017,1,12,21,38.7,THU
NO,ug m-3,12/01/2017,2017,1,12,22,24.0,THU
NO,ug m-3,12/01/2017,2017,1,12,23,19.5,THU
NO,ug m-3,13/01/2017,2017,1,13,0,2.05,FRI
NO,ug m-3,13/01/2017,2017,1,13,1,1.15,FRI
NO,ug m-3,13/01/2017,2017,1,13,2,1.25,FRI
NO,ug m-3,13/01/2017,2017,1,13,3,1.7,FRI
NO,ug m-3,13/01/2017,2017,1,13,4,2.95,FRI
NO,ug m-3,13/01/2017,2017,1,13,5,5.85,FRI
NO,ug m-3,13/01/2017,2017,1,13,6,7.05,FRI
NO,ug m-3,13/01/2017,2017,1,13,7,11.7,FRI
NO,ug m-3,13/01/2017,2017,1,13,8,7.55,FRI
NO,ug m-3,13/01/2017,2017,1,13,9,10.95,FRI
NO,ug m-3,13/01/2017,2017,1,13,10,7.6,FRI
NO,ug m-3,13/01/2017,2017,1,13,11,10.8,FRI
NO,ug m-3,13/01/2017,2017,1,13,12,13.0,FRI
NO,ug m-3,13/01/2017,2017,1,13,13,10.2,FRI
NO,ug m-3,13/01/2017,2017,1,13,14,10.0,FRI
NO,ug m-3,13/01/2017,2017,1,13,15,11.45,FRI
NO,ug m-3,13/01/2017,2017,1,13,16,12.45,FRI
NO,ug m-3,13/01/2017,2017,1,13,17,10.95,FRI
NO,ug m-3,13/01/2017,2017,1,13,18,14.0,FRI
NO,ug m-3,13/01/2017,2017,1,13,19,10.9,FRI
NO,ug m-3,13/01/2017,2017,1,13,20,44.400000000000006,FRI
